Method,NumberOfFeatures,Accuracy,Error,Fitness
SFO,1,0.6976744186046512,0.3023255813953488,0.23281653746770026
GA,1,0.6627906976744186,0.33720930232558144,0.23281653746770026
EHO,1,0.7209302325581395,0.2790697674418605,0.23281653746770026
GWO,1,0.7558139534883721,0.2441860465116279,0.23281653746770026
WOA,1,0.7325581395348837,0.2674418604651163,0.23281653746770026
MFO,1,0.686046511627907,0.313953488372093,0.23281653746770026
SFO,1,0.6511627906976745,0.34883720930232553,0.23281653746770026
GA,1,0.7325581395348837,0.2674418604651163,0.23281653746770026
EHO,1,0.686046511627907,0.313953488372093,0.23281653746770026
GWO,1,0.686046511627907,0.313953488372093,0.23281653746770026
WOA,1,0.6627906976744186,0.33720930232558144,0.23281653746770026
MFO,1,0.6627906976744186,0.33720930232558144,0.23281653746770026
SFO,1,0.7441860465116279,0.2558139534883721,0.23281653746770026
GA,1,0.6395348837209303,0.36046511627906974,0.23281653746770026
EHO,1,0.7209302325581395,0.2790697674418605,0.23281653746770026
GWO,1,0.7325581395348837,0.2674418604651163,0.23281653746770026
WOA,1,0.6744186046511628,0.32558139534883723,0.24677002583979332
MFO,1,0.6627906976744186,0.33720930232558144,0.23281653746770026
SFO,1,0.627906976744186,0.37209302325581395,0.23281653746770026
GA,1,0.6976744186046512,0.3023255813953488,0.23281653746770026
EHO,1,0.686046511627907,0.313953488372093,0.23281653746770026
GWO,1,0.6744186046511628,0.32558139534883723,0.23281653746770026
WOA,1,0.7209302325581395,0.2790697674418605,0.24677002583979332
MFO,1,0.7209302325581395,0.2790697674418605,0.23281653746770026
SFO,1,0.7093023255813954,0.2906976744186046,0.24677002583979332
GA,1,0.7325581395348837,0.2674418604651163,0.23281653746770026
EHO,1,0.7325581395348837,0.2674418604651163,0.23281653746770026
GWO,1,0.6744186046511628,0.32558139534883723,0.23281653746770026
WOA,1,0.6511627906976745,0.34883720930232553,0.24677002583979332
MFO,1,0.7209302325581395,0.2790697674418605,0.23281653746770026
SFO,1,0.6976744186046512,0.3023255813953488,0.23281653746770026
GA,1,0.6976744186046512,0.3023255813953488,0.23281653746770026
EHO,1,0.7558139534883721,0.2441860465116279,0.23281653746770026
GWO,1,0.7093023255813954,0.2906976744186046,0.23281653746770026
WOA,1,0.7093023255813954,0.2906976744186046,0.24677002583979332
MFO,1,0.6511627906976745,0.34883720930232553,0.23281653746770026
SFO,1,0.686046511627907,0.313953488372093,0.23281653746770026
GA,1,0.627906976744186,0.37209302325581395,0.23281653746770026
EHO,1,0.686046511627907,0.313953488372093,0.23281653746770026
GWO,1,0.7325581395348837,0.2674418604651163,0.23281653746770026
WOA,1,0.627906976744186,0.37209302325581395,0.24677002583979332
MFO,1,0.6162790697674418,0.38372093023255816,0.24677002583979332
SFO,1,0.7441860465116279,0.2558139534883721,0.23281653746770026
GA,1,0.6511627906976745,0.34883720930232553,0.23281653746770026
EHO,1,0.6976744186046512,0.3023255813953488,0.23281653746770026
GWO,1,0.6744186046511628,0.32558139534883723,0.23281653746770026
WOA,1,0.686046511627907,0.313953488372093,0.24677002583979332
MFO,1,0.6627906976744186,0.33720930232558144,0.23281653746770026
SFO,1,0.7441860465116279,0.2558139534883721,0.23281653746770026
GA,1,0.6976744186046512,0.3023255813953488,0.23281653746770026
EHO,1,0.6511627906976745,0.34883720930232553,0.23281653746770026
GWO,1,0.6976744186046512,0.3023255813953488,0.23281653746770026
WOA,1,0.6976744186046512,0.3023255813953488,0.23281653746770026
MFO,1,0.686046511627907,0.313953488372093,0.23281653746770026
SFO,1,0.7441860465116279,0.2558139534883721,0.23281653746770026
GA,1,0.686046511627907,0.313953488372093,0.23281653746770026
EHO,1,0.7093023255813954,0.2906976744186046,0.24677002583979332
GWO,1,0.6744186046511628,0.32558139534883723,0.23281653746770026
WOA,1,0.6744186046511628,0.32558139534883723,0.24677002583979332
MFO,1,0.6976744186046512,0.3023255813953488,0.23281653746770026
